generation,occupancy,unique_genomes,mean_fitness,entropy
317,1.0,16,0.54296875,3.9655525715507274
318,1.0,16,0.542724609375,3.966032609744791
319,1.0,16,0.54229736328125,3.9668026989242895
320,1.0,16,0.54315185546875,3.9658124533730637
321,1.0,16,0.54443359375,3.9647574254179494
322,1.0,16,0.5435791015625,3.9660029213821133
323,1.0,16,0.5435791015625,3.966142521615387
324,1.0,16,0.5423583984375,3.967916585843911
325,1.0,16,0.54132080078125,3.9684783846432907
326,1.0,16,0.540283203125,3.96859811328424
327,1.0,16,0.54132080078125,3.9680111111255374
328,1.0,16,0.54266357421875,3.96679501340871
329,1.0,16,0.54449462890625,3.9635831713919707
330,1.0,16,0.54388427734375,3.965185237290507
331,1.0,16,0.54376220703125,3.9637445971741507
332,1.0,16,0.54461669921875,3.962733301311183
333,1.0,16,0.54351806640625,3.9638562456733286
334,1.0,16,0.544189453125,3.9632487529630747
335,1.0,16,0.54254150390625,3.964614776884434
336,1.0,16,0.5419921875,3.9649921908934354
337,1.0,16,0.53973388671875,3.9658682360915467
338,1.0,16,0.53948974609375,3.9672482378973584
339,1.0,16,0.539794921875,3.9662673380178575
340,1.0,16,0.54071044921875,3.9655313554682223
341,1.0,16,0.54315185546875,3.963708189954355
342,1.0,16,0.54388427734375,3.9635029900383016
343,1.0,16,0.54351806640625,3.9630912914924696
344,1.0,16,0.54241943359375,3.964275072605394
345,1.0,16,0.54119873046875,3.9664582432243742
346,1.0,16,0.53997802734375,3.966039910997331
347,1.0,16,0.53955078125,3.964456074721004
348,1.0,16,0.53936767578125,3.9641497791814544
349,1.0,16,0.5411376953125,3.961908772943986
350,1.0,16,0.54022216796875,3.96222234615436
351,1.0,16,0.5423583984375,3.962438973081188
352,1.0,16,0.54296875,3.9617381951306787
353,1.0,16,0.5404052734375,3.9636413863492557
354,1.0,16,0.54052734375,3.9625700377330815
355,1.0,16,0.54022216796875,3.963958226120142
356,1.0,16,0.54022216796875,3.965048648220777
357,1.0,16,0.5396728515625,3.967584254270704
358,1.0,16,0.5379638671875,3.968652127230702
359,1.0,16,0.53863525390625,3.96894650826951
360,1.0,16,0.53778076171875,3.969464381072407
361,1.0,16,0.537841796875,3.9697180103939083
362,1.0,16,0.5374755859375,3.970045670576844
363,1.0,16,0.534912109375,3.9725413885165826
364,1.0,16,0.5341796875,3.972266639558545
365,1.0,16,0.53448486328125,3.971751571241163
366,1.0,16,0.5352783203125,3.9710154346030175
367,1.0,16,0.53497314453125,3.972082010113482
368,1.0,16,0.53558349609375,3.9722449040819012
369,1.0,16,0.535888671875,3.971509313157354
370,1.0,16,0.53424072265625,3.97271487911081
371,1.0,16,0.53326416015625,3.973651935350362
372,1.0,16,0.532470703125,3.9741971607695996
373,1.0,16,0.53399658203125,3.9714098275507976
374,1.0,16,0.53564453125,3.9715973095576684
375,1.0,16,0.53607177734375,3.971286322240756
376,1.0,16,0.53668212890625,3.9705051749060005
377,1.0,16,0.5369873046875,3.9703631433822792
378,1.0,16,0.5382080078125,3.9699488048943223
379,1.0,16,0.53741455078125,3.970709968112211
380,1.0,16,0.5364990234375,3.971583892436238
381,1.0,16,0.53436279296875,3.9748641914870637
382,1.0,16,0.53350830078125,3.9741898118021934
383,1.0,16,0.5325927734375,3.9738905456456988
384,1.0,16,0.53277587890625,3.973930932777775
