treatment,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,1.0,2,180,900,1.968888888888889,0.6953247753459362,0.4742564679090227,0.14563719360316218,0.09091405303421511,0.33272708509743204
moving,1.0,2,200,900,2.02,0.7465773756133907,0.49416511399482416,0.13590963810029208,0.08486856551188324,0.35919645862491745
static,0.0,0,0,900,3.5166666666666666,1.7277956412081197,0.4950374560120225,0.20641736263767504,0.07808214439048795,-0.016755010909998196
static,0.0,0,20,900,3.8733333333333335,1.487563257291751,0.498312359707051,0.05383074702985284,0.09774815369605815,0.7640863550005139
static,0.0,0,40,900,3.99,1.4340734523261585,0.4946735657029659,0.025879450273980958,0.10847661775726021,0.8915130435052407
static,0.0,0,60,900,4.173333333333333,1.4043424716848016,0.491256328243838,0.022662428695254207,0.11295013874483209,0.9062438006279818
static,0.0,0,80,900,4.166666666666667,1.3511312133007496,0.4917066315358995,0.019665820716798565,0.12159859161795522,0.9206181858479537
static,0.0,0,100,900,4.1755555555555555,1.2676584810947142,0.4966283099320564,0.01971234868373609,0.12910656700680254,0.9225900984131282
static,0.0,0,120,900,4.0777777777777775,1.2633973403115004,0.49821608470686063,0.01849274974202092,0.12712985886629252,0.9266995556449809
static,0.0,0,140,900,4.025555555555556,1.2474027337820426,0.5002684853569013,0.019961087225366818,0.12341898638767564,0.9196664131030867
static,0.0,0,160,900,3.831111111111111,1.2010777053633905,0.5020573294304947,0.016867540282878526,0.12784975447175753,0.9333662863334289
static,0.0,0,180,900,3.8577777777777778,1.1849967442784883,0.494338925742665,0.019402799208094623,0.11988620102267043,0.9210998221291935
static,0.0,0,200,900,3.9266666666666667,1.18,0.506331937719625,0.01927834762061882,0.11934946288867435,0.9215138847390064
static,0.0,1,0,900,3.351111111111111,1.6769843598584566,0.4923330978142465,0.2082882377475954,0.08432928304812921,0.00535611691511934
static,0.0,1,20,900,3.5877777777777777,1.598633289738997,0.4930741422087661,0.045254210029906095,0.107802331884722,0.8080248197726254
static,0.0,1,40,900,3.796666666666667,1.5054678121213132,0.49914815790258293,0.024483932512235553,0.11415232297283483,0.8985498769649259
static,0.0,1,60,900,3.811111111111111,1.43445262068416,0.5007211766754759,0.022050386813987854,0.11732630708986092,0.9094636528539237
static,0.0,1,80,900,3.8133333333333335,1.3673331708109768,0.5035187851018716,0.018883690840712793,0.11326662503091699,0.9219160357906591
static,0.0,1,100,900,3.9044444444444446,1.2787937989554505,0.50959441468644,0.018796079094810285,0.11447176424636823,0.9227868933435762
static,0.0,1,120,900,3.9066666666666667,1.2824282522707544,0.5065639804460603,0.02006697813379254,0.11397472379804703,0.9171858003349566
static,0.0,1,140,900,3.811111111111111,1.2310288781200187,0.5095347282634638,0.018935095706453946,0.11937889403075802,0.9231337108138015
