treatment,period,cost,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.0,True,3,140,900,5.496666666666667,0.9327319491091152,1.5032325649732416,1.423826638945426,0.11414782217487458,0.12045460583884006,0.535110870898409
moving,90,0.0,True,3,160,900,5.641111111111111,0.7032297624286334,1.2369659003035192,1.1709757993198981,0.1106886063138522,0.116962885580089,0.5428413790766196
moving,90,0.0,True,3,180,900,5.615555555555556,0.642029959687087,1.1694599689040428,1.1372927505936539,0.12477902122627722,0.12019839957638023,0.49125789156660055
moving,90,0.0,True,3,200,900,5.685555555555555,0.5477349543774923,1.1012230686382736,0.9841253241704132,0.11949250103763859,0.11014732276960298,0.49305331497781285
moving,90,0.3,False,0,0,900,3.6355555555555554,1.727703106639378,0.0,0.0,0.2128602069713698,0.08238220907849025,-0.024577094780655104
moving,90,0.3,False,0,20,900,3.27,1.5589847123475373,0.0,0.0,0.09625538190040941,0.09777185767958123,0.5727826936074666
moving,90,0.3,False,0,40,900,3.2055555555555557,1.3519419046616785,0.0,0.0,0.12800769059726194,0.0959422117581405,0.42470911985458004
moving,90,0.3,False,0,60,900,3.2888888888888888,1.2278657585370047,0.0,0.0,0.12153976877965884,0.09728620663246965,0.4568484667452318
moving,90,0.3,False,0,80,900,3.411111111111111,1.1194685688053996,0.0,0.0,0.11787982832860526,0.10471310574376977,0.48910150872877506
moving,90,0.3,False,0,100,900,3.2,1.0873004286866728,0.0,0.0,0.11547188123005346,0.11608293384266895,0.5214871170000072
moving,90,0.3,False,0,120,900,3.02,1.0119508112771314,0.0,0.0,0.1367885853713255,0.12319891348502979,0.44916774795838615
moving,90,0.3,False,0,140,900,3.0755555555555554,0.9146111634169536,0.0,0.0,0.1192346842132593,0.11118825691413876,0.4962665833410336
moving,90,0.3,False,0,160,900,3.276666666666667,0.8819863944528851,0.0,0.0,0.13939658393836493,0.11106392434996436,0.4103395516090606
moving,90,0.3,False,0,180,900,3.3966666666666665,0.8295849028948821,0.0,0.0,0.12317092954130394,0.10254127957854212,0.4609658640231855
moving,90,0.3,False,0,200,900,3.3044444444444445,0.8644730072401993,0.0,0.0,0.11447987142220437,0.09608721540761282,0.487457650308769
moving,90,0.3,False,1,0,900,3.4988888888888887,1.7058718490648992,0.0,0.0,0.21866624977623908,0.08325931160929356,-0.050586697112083974
moving,90,0.3,False,1,20,900,3.19,1.364840242991424,0.0,0.0,0.08242017984643639,0.1019915836320462,0.6412472153578267
moving,90,0.3,False,1,40,900,3.078888888888889,1.2415934604320589,0.0,0.0,0.13093815610659026,0.11190518920028936,0.44818563439446624
moving,90,0.3,False,1,60,900,3.232222222222222,1.1606825365349838,0.0,0.0,0.12018641883315222,0.10557460737348569,0.48282026847607135
moving,90,0.3,False,1,80,900,3.408888888888889,1.086037081876064,0.0,0.0,0.13056452221485443,0.11043236822606517,0.4465710552972898
moving,90,0.3,False,1,100,900,3.453333333333333,1.0322790320451152,0.0,0.0,0.1282831295750887,0.11185115436622359,0.4594792687399054
moving,90,0.3,False,1,120,900,3.422222222222222,0.9727141612550795,0.0,0.0,0.13285745115832154,0.1065968078132823,0.4289172167507474
moving,90,0.3,False,1,140,900,3.381111111111111,0.99346693111038,0.0,0.0,0.12350988860756804,0.10170198037058242,0.45844509995014193
moving,90,0.3,False,1,160,900,3.3333333333333335,0.9614803401237304,0.0,0.0,0.1236692653094419,0.09756045957578711,0.4538528692558632
moving,90,0.3,False,1,180,900,3.3,0.9231588282750819,0.0,0.0,0.12619581962814974,0.11009721156189595,0.464469873072086
moving,90,0.3,False,1,200,900,3.2255555555555557,0.8712776201406901,0.0,0.0,0.13428729293995245,0.117627450448002,0.4475085935959489
