A,sigma_e,rho,cue_noise,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.0,0.0,0.3,2,100,2582,582,2000,0.5145143762875952,0.0910125244062285,3.604810996563574,0.7396946143173779,0.4381541614232708,0.7433276900507049,0.04910942287473541,0.008493946717812244
0.0,0.0,0.8,0.0,0,0,300,300,0,0.4832799036366318,0.29507861124443785,3.02,0.5103977734308699,0.5105200845762393,0.5535157421735547,4.0881549374129095e-06,0.0873509484363464
0.0,0.0,0.8,0.0,0,10,2331,589,1742,0.48800681245378025,0.10355813632432556,3.8421052631578947,0.37989401824730895,0.5325356199987678,0.3851376410667996,0.02981489942070098,0.0108681241464864
0.0,0.0,0.8,0.0,0,20,2595,596,1999,0.500329246594751,0.09628533697158162,3.8573825503355703,0.5238197967372703,0.5754065415559054,0.528830118094583,0.0014281591860351983,0.009270974519051177
0.0,0.0,0.8,0.0,0,30,2596,596,2000,0.4952014799173929,0.08963825817723364,3.912751677852349,0.6072684716461453,0.5992120502657369,0.6119009439204686,0.003488509210827609,0.008058043124031578
0.0,0.0,0.8,0.0,0,40,2589,589,2000,0.5026159213727214,0.08404453916901539,3.6264855687606112,0.6522363118899119,0.6331406232503557,0.6569153248668836,0.019490346882726974,0.0070703276087604235
0.0,0.0,0.8,0.0,0,50,2584,584,2000,0.5042130567367138,0.08896827447716257,3.452054794520548,0.686388043605485,0.6147344482201266,0.6914033727413333,0.008648853337583546,0.007933103710510507
0.0,0.0,0.8,0.0,0,60,2596,596,2000,0.5035159303858161,0.08421797593053726,3.402684563758389,0.7031693577602796,0.627237987726228,0.7076991005828355,0.03318058245479004,0.007105029236314458
0.0,0.0,0.8,0.0,0,70,2597,597,2000,0.499347728798906,0.08286889622927893,3.390284757118928,0.716065814144082,0.635374093136631,0.7201131851576729,0.11409500812864515,0.006867679419978775
0.0,0.0,0.8,0.0,0,80,2590,590,2000,0.4957387121624848,0.09206689149488623,3.48135593220339,0.7137329262852626,0.6325456486911286,0.7189706310058903,0.027270977828470527,0.00849447108356531
0.0,0.0,0.8,0.0,0,90,2598,598,2000,0.48743802919548107,0.09490893036417339,3.528428093645485,0.7190827015494282,0.6491134012175361,0.7250156615092065,0.05601984929027383,0.0091655081733651
0.0,0.0,0.8,0.0,0,100,2591,591,2000,0.4935304541556425,0.08496856972442976,3.4923857868020303,0.7368922947049645,0.6289967194176576,0.7415188342908209,0.06218615588647329,0.007261512864447521
0.0,0.0,0.8,0.0,1,0,300,300,0,0.48268009544320895,0.28312313332164574,3.1066666666666665,0.49575710581879606,0.5006048147544381,0.5335291338081227,0.046662050407616236,0.08045868771572275
0.0,0.0,0.8,0.0,1,10,2040,598,1442,0.504963813300407,0.1062327903306748,3.4381270903010033,0.32470148080934097,0.48361791885298755,0.33049452251376726,0.20166657287297654,0.011310045183922411
0.0,0.0,0.8,0.0,1,20,2597,597,2000,0.4994644831978582,0.09710027806492622,3.3333333333333335,0.59035993577557,0.5507785256312059,0.5955410296269961,0.10394888274167402,0.00942875077853137
0.0,0.0,0.8,0.0,1,30,2594,594,2000,0.5065308811682699,0.09268489394357653,3.1481481481481484,0.6677464149759028,0.554797929332289,0.6727711323162228,0.13158257587274785,0.008633141974166092
