A,sigma_e,rho,cue_noise,population_mean,population_std,active_mean,active_std,bank_mean,bank_std,mean_d_mean,mean_d_std,mean_h0_mean,mean_h0_std,mean_hb_mean,mean_hb_std,mean_h_eff_mean,mean_h_eff_std,corr_h_cue_mean,corr_h_cue_std,maladaptation_mean,maladaptation_std
0.75,0.8,0.0,0.0,2522.055555555555,54.61845774027239,569.7222222222222,2.358985971729084,1952.3333333333333,55.866159504460185,3.426616381040288,0.30249248141385654,0.3711544691151814,0.07785166070885989,0.5149301888241548,0.10319006466632667,0.5001433744274374,0.041984526819512175,0.6206931545065941,0.15505945681673078,0.2768595854738467,0.014996762744841243
0.75,0.8,0.0,0.3,2542.1666666666665,24.251002270238136,567.9444444444445,10.001851680415866,1974.2222222222224,15.11927883837688,3.1940670699588183,0.1860308050784218,0.3564355804232527,0.022594525855644726,0.4575429780867227,0.08115324041102479,0.45866964881974587,0.015031971720163795,0.5680464499333923,0.058000031689985625,0.24975148995602817,0.015890360879709513
0.75,0.8,0.8,0.0,2547.444444444445,33.699791185197896,575.8888888888888,6.019259213680833,1971.5555555555554,27.972870454808135,3.537054005773252,0.5376049470414117,0.38501120572481073,0.08224701155359483,0.5933714576126671,0.1665043273564823,0.5044256146821758,0.06180569147031761,0.6395438725558545,0.09082108213842682,0.2162185708754009,0.01681736665937593
0.75,0.8,0.8,0.3,2563.722222222222,11.359447039228737,571.5555555555555,7.330176088026934,1992.1666666666667,4.1264728010466145,3.4317536181824475,0.26003650516782756,0.3653940716347693,0.004565663038122055,0.667447798719194,0.13564930037585457,0.4907143528846593,0.02401526571969913,0.6434603770099979,0.1119024328155964,0.21015733842234882,0.0007307601832549265
1.5,0.0,0.0,0.0,2587.722222222222,1.6442942874387403,591.5555555555555,3.433225456773431,1996.1666666666667,1.9220937657785637,3.9520165723959906,0.42748492043470737,0.47862513626826453,0.023319429860756222,0.5298093294362284,0.1442357592567396,0.5327077925935791,0.01638471001178183,0.5271571899217241,0.04188344725852997,0.12078542157798193,0.004492209596231015
1.5,0.0,0.0,0.3,2583.277777777778,7.360429737856676,590.5,1.452966314513495,1992.777777777778,6.754285333798903,3.8827405450196673,0.2710153115831196,0.41651077319781166,0.04707105628151413,0.5086436404061511,0.1480079261200461,0.4764073038524144,0.029615144584794407,0.58768014368944,0.07892694587894147,0.12775017962761384,0.012704278013009336
1.5,0.0,0.8,0.0,2584.3333333333335,1.2018504251544215,591.3333333333334,2.773886162848945,1993.0,3.898005187842165,4.059650898451622,0.42690750881170997,0.48471850318596504,0.008881967951799168,0.5148125690735091,0.17005524479496856,0.5352971357201329,0.008191486550435582,0.5630620117734003,0.13585780651266832,0.12400617931127449,0.005189258529205349
1.5,0.0,0.8,0.3,2578.277777777778,6.803457726556055,590.0555555555555,1.5122952876462388,1988.2222222222224,7.40932845460035,4.016539855321297,0.3285248463326153,0.4103550920594641,0.034378815745059355,0.4739421047836099,0.10223992662448363,0.46462939272789683,0.04114963776011641,0.5783629422512792,0.09681390670564538,0.12620898638301428,0.0015622896205000094
1.5,0.4,0.0,0.0,2581.5555555555557,7.307403653018408,589.0555555555555,2.1430335024428984,1992.5,5.600099205470346,3.7595961535578035,0.11325498737152846,0.4484264348539537,0.031196636220947933,0.417919226844262,0.17623853503087175,0.49964174274362927,0.025737419895649486,0.506342879938603,0.1669664413724501,0.1387414223241271,0.007189188761095097
1.5,0.4,0.0,0.3,2579.3333333333335,4.106228331584976,586.9444444444445,1.6187558093704266,1992.388888888889,3.7503086292749788,3.7062003638184247,0.19468542982396495,0.4453078526034804,0.04274555066697891,0.484849313815053,0.05851903116046807,0.4991170339513989,0.0385392332581075,0.5320072948886234,0.09677384219677909,0.13065439673000698,0.009038679480820412
1.5,0.4,0.8,0.0,2580.5555555555557,4.385371304859232,591.5555555555555,2.123501650401834,1989.0,4.08588355737713,3.8363128340562724,0.22877907418709506,0.4456449489042711,0.012510869335501254,0.48046636407235166,0.10809266879034182,0.5088601984831747,0.014925893621553074,0.5907088363777336,0.11426178921690905,0.14612464680150958,0.012268732392705168
1.5,0.4,0.8,0.3,2580.111111111111,7.746564351973101,587.0,2.743679605525688,1993.111111111111,5.003702332976866,3.836153903255808,0.3801779485425284,0.463989102043261,0.045712782689902115,0.36377287368117445,0.09618750143999145,0.5043701414023846,0.051426559195722116,0.4748150826644249,0.06139695041195507,0.12420253237446381,0.00786401774917736
1.5,0.8,0.0,0.0,2553.6666666666665,12.85279908986508,581.0555555555555,5.2607913782934,1972.611111111111,17.19926785694139,3.6652187432716725,0.20429717594171795,0.4148702765587924,0.03722280674457075,0.49790331230676826,0.09767122907934933,0.5018654152738877,0.020953544362420248,0.5478846022625798,0.15705488491150169,0.2111722992700017,0.0013477961825376663
1.5,0.8,0.0,0.3,2571.4444444444443,8.882462955067552,586.5,2.3511226632776325,1984.9444444444443,9.880302139629558,3.605587191418406,0.0718197052737465,0.3988309829106697,0.01928156283027983,0.3052131586394387,0.17378389165977692,0.4576727527113585,0.036332650364623,0.5202295807701262,0.21352551520635452,0.20608240516818963,0.019851031627159284
1.5,0.8,0.8,0.0,2580.777777777778,3.4654378163889823,587.3888888888888,3.4574128627781766,1993.388888888889,0.6938886664887716,3.6405975873016163,0.13394478456852005,0.45527637176778696,0.03378680537755264,0.4926792907438819,0.09815861551854974,0.519875844980992,0.024471727498380953,0.4654815359756374,0.18398030000424656,0.1706010575479513,0.01934029177732907
1.5,0.8,0.8,0.3,2577.3333333333335,2.29128784747792,585.5555555555555,1.3471506281090855,1991.7777777777776,3.146132252170693,3.477225172636633,0.3667150731638016,0.363912527545645,0.0068268134575747135,0.5583572320934512,0.15747428217920384,0.45285934352105484,0.018983036912505448,0.6452174880767032,0.10839270405515267,0.17472393302687228,0.03933083838191948
