treatment,period,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,30.0,1.0,0,60,900,2.2255555555555557,1.0441435736856957,0.4790891994485146,0.19940862361522446,0.07992439214716213,0.02977922603054115
moving,30.0,1.0,0,80,900,2.1222222222222222,0.9652607912174451,0.4895566923723754,0.18899596836379834,0.08326165086544385,0.09495732859497141
moving,30.0,1.0,0,100,900,1.9722222222222223,0.8846251909114173,0.48825369838674326,0.19468485517123763,0.07291513701018737,0.017640521812399754
moving,30.0,1.0,0,120,900,1.9222222222222223,0.7920125949865215,0.4870187093546489,0.1898792543110085,0.07931076381444714,0.07331662820493122
moving,30.0,1.0,0,140,900,1.8511111111111112,0.7008319571043871,0.4931655264697951,0.19131389929979542,0.0691209020848323,0.015350430666450365
moving,30.0,1.0,0,160,900,1.771111111111111,0.685442994541072,0.48330430281028286,0.2094936317960344,0.07472588059079747,-0.049090804340416225
moving,30.0,1.0,0,180,900,1.8066666666666666,0.689895322172542,0.5026720078712655,0.18145479647690227,0.07264767342354626,0.08500013226006613
moving,30.0,1.0,0,200,900,1.7655555555555555,0.698834126100371,0.5314448204782727,0.18991176238397878,0.0629827749265149,-0.005298211635156347
moving,30.0,1.0,1,0,900,3.548888888888889,1.7175075250971776,0.5038822088825419,0.21655223153086978,0.08462299760089505,-0.033613239524185615
moving,30.0,1.0,1,20,900,2.6955555555555555,1.483457755913611,0.49317490166013883,0.2092348646863383,0.07979458037902078,-0.021996770904250455
moving,30.0,1.0,1,40,900,2.381111111111111,1.2056712694082674,0.495172189722645,0.18183252263074037,0.0700406902651019,0.07070466392832515
moving,30.0,1.0,1,60,900,2.227777777777778,1.1606059507169115,0.4915569315045928,0.1970776026423633,0.08174963055398594,0.048192423534090534
moving,30.0,1.0,1,80,900,2.0155555555555558,0.8918035547400075,0.495287123973193,0.1950539277797118,0.07624810758060756,0.03183748741380156
moving,30.0,1.0,1,100,900,1.8777777777777778,0.7215381375579653,0.5104932044894325,0.1938323197167773,0.07631620384439704,0.038875565814692044
moving,30.0,1.0,1,120,900,1.9566666666666668,0.75521152298177,0.5174593013374977,0.19778349056974984,0.08182035647776066,0.04618595309068531
moving,30.0,1.0,1,140,900,1.8577777777777778,0.6664962745211839,0.5306348813748273,0.19551575933644397,0.0706416929213687,0.005663714693178147
moving,30.0,1.0,1,160,900,1.7922222222222222,0.5908050586140496,0.5006134249241531,0.1945364495813601,0.07519518541628953,0.029185576703317315
moving,30.0,1.0,1,180,900,1.791111111111111,0.5799701993195558,0.5093186024929691,0.1796380984312273,0.06922323621471813,0.07886378214999701
moving,30.0,1.0,1,200,900,1.808888888888889,0.6174579507850347,0.48908231331698326,0.17879360388791196,0.06891347432374736,0.08209586516260294
moving,30.0,1.0,2,0,900,3.4155555555555557,1.6854218799992622,0.4955055827173609,0.2101405435339367,0.08218812601321021,-0.014464608209986895
moving,30.0,1.0,2,20,900,2.7622222222222224,1.5147847502223453,0.5077821028515587,0.21972079810444572,0.08513076073343001,-0.04618923533382537
moving,30.0,1.0,2,40,900,2.546666666666667,1.2679992989833324,0.5105076363207464,0.19430690833744851,0.07634829424774797,0.03660416182394595
moving,30.0,1.0,2,60,900,2.138888888888889,1.0612565345376044,0.5241815089656565,0.19369136884105467,0.07190472504073853,0.02003101047696679
moving,30.0,1.0,2,80,900,2.0544444444444445,0.9720152160572969,0.514520804110872,0.19126430407436765,0.0717820430960095,0.03023813774137367
moving,30.0,1.0,2,100,900,1.9477777777777778,0.7692316191828162,0.5102967215642746,0.17935882751633642,0.0683620829607316,0.07631539254545017
moving,30.0,1.0,2,120,900,1.91,0.817659260735587,0.4884257678054694,0.20253008161540717,0.07567074029358298,-0.008870240215131211
moving,30.0,1.0,2,140,900,1.8788888888888888,0.7240310681554494,0.47415932055597576,0.19657858262314679,0.07028778197118814,-0.0033235705792504107
moving,30.0,1.0,2,160,900,1.88,0.6968500556073739,0.4967287544785164,0.2068620601663543,0.07685166554060127,-0.025505376800066096
moving,30.0,1.0,2,180,900,1.8388888888888888,0.711523318028837,0.5352602586090315,0.19595759136804644,0.081794797060729,0.05973608597741183
moving,30.0,1.0,2,200,900,1.8844444444444444,0.6944079990436476,0.48634684359213665,0.18375232704924094,0.07575060154764367,0.08830056543601478
moving,60.0,0.0,0,0,900,3.5188888888888887,1.6998950584893595,0.4876782937368311,0.19207301727053694,0.08117899116388769,0.07076942071097375
moving,60.0,0.0,0,20,900,3.968888888888889,1.558891660724549,0.4896234833704602,0.1333770938307784,0.11197465635383631,0.43828419222430753
moving,60.0,0.0,0,40,900,4.546666666666667,1.261850492992996,0.4772104150122837,0.17011356550231876,0.10968994360156485,0.277961202295116
moving,60.0,0.0,0,60,900,4.901111111111111,1.1136520945314659,0.49454790810788873,0.16735711059372527,0.10269791334137322,0.26641530018177356
moving,60.0,0.0,0,80,900,4.932222222222222,1.0856977047838132,0.5152108310988328,0.1355652847675883,0.10243027314635585,0.4069520939093633
moving,60.0,0.0,0,100,900,5.054444444444444,0.9833797854690405,0.5105344243870102,0.1613015505033567,0.10747400605461824,0.30750477630986783
moving,60.0,0.0,0,120,900,5.208888888888889,0.9561083672244184,0.5214666514926041,0.15601086592657515,0.1053228010435934,0.3258345732815697
moving,60.0,0.0,0,140,900,5.084444444444444,1.0716457863296178,0.5113376165974461,0.1588648869549197,0.11187364674026208,0.33037677392992454
moving,60.0,0.0,0,160,900,5.185555555555555,0.955691850744918,0.4947108174661231,0.16357644019593146,0.10908020634079678,0.302013690421063
moving,60.0,0.0,0,180,900,5.311111111111111,0.8359219055024013,0.49621708721575847,0.1664641916975599,0.10635916855578248,0.2814714637149616
moving,60.0,0.0,0,200,900,5.388888888888889,0.8588680463189059,0.503580622559482,0.15426917150957675,0.1014807697351063,0.32063223245762074
moving,60.0,0.0,1,0,900,3.4455555555555555,1.7218634034809246,0.49685539644352694,0.19925652594955048,0.08378344202776718,0.04659494287084442
moving,60.0,0.0,1,20,900,4.004444444444444,1.6766309546303537,0.4963397721439485,0.1350615005344657,0.10015469194334627,0.4026575959238248
moving,60.0,0.0,1,40,900,4.542222222222223,1.4994056435636813,0.5226404681293964,0.1620557999349362,0.10749951360066079,0.3060572958609266
moving,60.0,0.0,1,60,900,4.9944444444444445,1.299133139281824,0.49289652429854597,0.17603499436888378,0.12034821413014697,0.28276606835133544
moving,60.0,0.0,1,80,900,4.997777777777777,1.1999979423850673,0.5111505437460258,0.17350058413345715,0.1150485642133036,0.27798408289655896
moving,60.0,0.0,1,100,900,5.1722222222222225,0.9708561831677551,0.49061502396603246,0.15434295921412708,0.11314874066066759,0.35271205922694643
moving,60.0,0.0,1,120,900,5.195555555555556,0.9612389125048882,0.4976420588885341,0.15353976403309666,0.11983337887093676,0.3729863575024717
moving,60.0,0.0,1,140,900,5.373333333333333,0.8784835418682205,0.5013479310571526,0.16676977748041275,0.12122367825044846,0.3227352656617086
moving,60.0,0.0,1,160,900,5.388888888888889,0.8040791067280278,0.5119056831764229,0.15337167664817972,0.1234306883970746,0.3832161683406907
moving,60.0,0.0,1,180,900,5.363333333333333,0.9129865521706465,0.5057329591244604,0.15538014436400904,0.1201019617416348,0.3662663920587999
moving,60.0,0.0,1,200,900,5.512222222222222,0.7309548971916087,0.4967131659847337,0.1655531643943241,0.11378701166736112,0.3070750726087275
moving,60.0,0.0,2,0,900,3.5966666666666667,1.7399201769685362,0.501084252869583,0.21553247325497138,0.08618316259467347,-0.020946275406228215
moving,60.0,0.0,2,20,900,4.086666666666667,1.623863705282353,0.5109620811690148,0.1315746662603414,0.09952456755115574,0.41721496904022215
moving,60.0,0.0,2,40,900,4.384444444444444,1.408301665214848,0.5111623290105438,0.15422099455589983,0.10402398959789126,0.32854133992078327
moving,60.0,0.0,2,60,900,4.804444444444444,1.0788791623317138,0.49566946619886243,0.15555511727658955,0.10311745994784688,0.31964831363400253
moving,60.0,0.0,2,80,900,4.986666666666666,0.9648488655397451,0.5186464162256246,0.16226641021187585,0.11205587585424777,0.3174332564744541
moving,60.0,0.0,2,100,900,4.982222222222222,1.0768862291891765,0.4919573844902092,0.16771578077452776,0.112952710924484,0.2958230177704909
moving,60.0,0.0,2,120,900,5.041111111111111,1.058026931440935,0.5051742235838138,0.15656667449968453,0.11140974527350772,0.33840458602218615
moving,60.0,0.0,2,140,900,5.237777777777778,0.9184017249521376,0.5016734347668985,0.15166969888219464,0.10396234552251567,0.3390243378619272
moving,60.0,0.0,2,160,900,5.39,0.8028490933336516,0.4942415820337222,0.14694585795341045,0.10882476718510822,0.37259001425507693
moving,60.0,0.0,2,180,900,5.317777777777778,0.8172552678566877,0.5160184483829858,0.16340737558352486,0.1143261528227867,0.3186080640516546
moving,60.0,0.0,2,200,900,5.448888888888889,0.76930624511012,0.5111638241674691,0.16787302211842914,0.12087887706707783,0.3178046993062884
moving,60.0,0.2,0,0,900,3.5966666666666667,1.7399201769685362,0.501084252869583,0.21553247325497138,0.08618316259467347,-0.020946275406228215
