treatment,period,base_cost,sigma_noise,c_plast,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.6,0.2,0.0,True,3,60,900,2.807777777777778,1.11042812342085,2.0450276107451364,1.410770217315485,0.15375608426478576,0.10655135109175076,0.3388518469143294
moving,90,0.6,0.2,0.0,True,3,80,900,2.8377777777777777,1.0426012104110647,2.0338185996787783,1.4474130701630887,0.13434650464606712,0.10960897691581313,0.4283610030631553
moving,90,0.6,0.2,0.0,True,3,100,900,2.7177777777777776,0.9476963622710222,2.1706279176971766,1.5184755396535117,0.12782376140583535,0.10803553088234692,0.45668635825015347
moving,90,0.6,0.2,0.0,True,3,120,900,2.6244444444444444,0.769604676457135,2.066314027321481,1.5039150561683976,0.11976052280959032,0.10193610347639517,0.47721918256467555
moving,90,0.6,0.2,0.0,True,3,140,900,2.6244444444444444,0.7923679155419199,1.9148176681363676,1.6234727347810445,0.12210961661513536,0.09860448471567412,0.46084744473716216
moving,90,0.6,0.2,0.0,True,3,160,900,2.548888888888889,0.810246114111076,1.6404209731422252,1.6093248806276594,0.12387262255889728,0.09306509464194264,0.4417122146993809
moving,90,0.6,0.2,0.0,True,3,180,900,2.4966666666666666,0.7923172765165901,1.328713856494,1.5222208245883015,0.13304536111205345,0.08581901717542155,0.37612231669417623
moving,90,0.6,0.5,0.0,True,0,0,900,3.5244444444444443,1.682082777135478,2.47067588017547,1.4319874476199264,0.21081081825071563,0.07944373032446736,-0.031634765219594976
moving,90,0.6,0.5,0.0,True,0,20,900,3.037777777777778,1.4835076884628522,2.2881089843767817,1.434632007202844,0.0911285839999133,0.09241886708690931,0.5881903470430269
moving,90,0.6,0.5,0.0,True,0,40,900,2.8577777777777778,1.2613024818088974,2.0394538179283512,1.3315427421277348,0.1234466738349079,0.0956442552815395,0.44558670775797166
