A,sigma_e,rho,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h,maladaptation
0.0,0.4,0.0,1,20,2045,561,1484,0.5358671892766607,0.2117591039160978,3.1140819964349378,0.2719585891137759,0.13681563403002828
0.0,0.4,0.0,1,30,2331,564,1767,0.5182777340864212,0.20601455694170964,3.1648936170212765,0.3223182115962974,0.1583025079085711
0.0,0.4,0.0,1,40,2445,577,1868,0.6025002942571536,0.19210934590950224,3.4454072790294625,0.3453513639157183,0.14351396101271136
0.0,0.4,0.0,1,50,2451,555,1896,0.5865823809818408,0.2155066833176873,3.398198198198198,0.40262015712756744,0.19358707683724685
0.0,0.4,0.0,1,60,2502,582,1920,0.5418548542755421,0.21385547488654696,3.6357388316151202,0.40975733590803326,0.16944026158766667
0.0,0.4,0.0,1,70,2508,559,1949,0.5930200418063705,0.2323065496664509,3.6923076923076925,0.4276202799247876,0.13794870817351568
0.0,0.4,0.0,1,80,2529,546,1983,0.5576426857595533,0.22477459514647566,3.3937728937728937,0.47183106773939454,0.16006461014234613
0.0,0.4,0.0,1,90,2561,567,1994,0.5508650064095366,0.20891304986922304,3.5873015873015874,0.48991760847088134,0.16430008623553416
0.0,0.4,0.0,1,100,2577,578,1999,0.5233279495275956,0.18506300111498078,3.716262975778547,0.4971120633691649,0.10374021959470997
0.0,0.4,0.8,0,0,300,300,0,0.48213061271747354,0.2851060138848376,2.9433333333333334,0.4824365099706559,0.1445923480522252
0.0,0.4,0.8,0,10,1614,545,1069,0.46179790177860247,0.2564705679958806,3.4422018348623853,0.2245076411027006,0.1455149273350621
0.0,0.4,0.8,0,20,1987,582,1405,0.6059280281449659,0.20011946045415027,3.4261168384879723,0.2499666994759572,0.13457135855765054
0.0,0.4,0.8,0,30,2254,577,1677,0.5527448902473814,0.20585288564750243,3.169844020797227,0.33031553692989746,0.11396449880085216
0.0,0.4,0.8,0,40,2478,563,1915,0.53312089104826,0.2219668433669884,2.950266429840142,0.40999922279493095,0.12311615291561984
0.0,0.4,0.8,0,50,2551,556,1995,0.5367517817134233,0.2170394330322145,2.776978417266187,0.47413317718344516,0.15601225134544852
0.0,0.4,0.8,0,60,2547,553,1994,0.47662346106070136,0.2223813361781753,2.7197106690777577,0.4684554422259797,0.10113344152804171
0.0,0.4,0.8,0,70,2542,542,2000,0.49034360272155264,0.21040574193553768,2.6476014760147604,0.523233771136194,0.1652238010002903
0.0,0.4,0.8,0,80,2550,569,1981,0.5386594203257951,0.24602997910795177,2.843585237258348,0.4849459046655145,0.1568028495669122
0.0,0.4,0.8,0,90,2552,554,1998,0.5108126853335684,0.19176818730442974,2.6985559566787005,0.4688838809318092,0.1266859020251578
0.0,0.4,0.8,0,100,2562,572,1990,0.5674147185051132,0.21844012695639234,2.6853146853146854,0.4482732897993599,0.10904314480273675
0.0,0.4,0.8,1,0,300,300,0,0.5138819303903067,0.299889876675645,2.98,0.514682066659983,0.19258872150346715
0.0,0.4,0.8,1,10,1447,563,884,0.5546705301878835,0.18161184914275155,2.763765541740675,0.16359623060819475,0.11425314389342754
0.0,0.4,0.8,1,20,1694,572,1122,0.5767318013117168,0.17586926523409732,2.6136363636363638,0.164368269363731,0.10071078016666975
0.0,0.4,0.8,1,30,2048,569,1479,0.5647043673066963,0.19813352362363656,2.8172231985940246,0.26405518244948506,0.11855362859694311
0.0,0.4,0.8,1,40,2331,572,1759,0.5949997006067198,0.17802138035878184,2.9055944055944054,0.3314004705743669,0.09675643923361676
0.0,0.4,0.8,1,50,2497,566,1931,0.5943630654638735,0.20710004227882559,2.874558303886926,0.3955632112310999,0.12269728768392128
0.0,0.4,0.8,1,60,2559,571,1988,0.5550696428319039,0.2329200029978654,2.858143607705779,0.4802079763160519,0.10926547906548097
