r,epsilon,runs,atlas_score_mean,atlas_score_std,motif_even_mean,motif_odd_mean,frame_even_mean,parity_mean,smooth_mean,resonance_mean,wall_entropy_mean,cluster_lifetime_mean,nearest_atlas_index,parameter_distance,nearest_atlas_score,nearest_class,nearest_parity_index,nearest_smooth_index,nearest_resonance_index,nearest_motif_even_mean,nearest_motif_odd_mean,nearest_frame_even_mean,r_atlas_nearest,epsilon_atlas_nearest,score_difference
3.87,0.132,4,0.0,0.0,0.7681539122839526,1.114272166903746e-05,0.9176074852566788,0.7681427695622836,1.6148874015974082e-86,0.7426165501165501,0.2678204743376471,0.0,14,0.005166236541235692,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,-0.056745232396521
3.87,0.1345,4,0.010092460547662,0.0135976474132211,0.6373627243052646,0.0054922871175566,0.8635113235219082,0.631870437187708,1.1071621158230497e-52,0.7260060839257219,0.7145988827174903,2.5,15,0.005220153254455173,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.1504436462525771
3.87,0.137,4,0.0340576075497067,0.0393481957680313,0.7665017935693339,0.0003039538552441,0.9345703854277444,0.7661978397140898,0.0011234391796118,0.6304157549439807,0.5240834487505825,5.0,15,0.00509901951359268,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.1264784992505324
3.8725,0.122,4,0.0219600972659286,0.0039043163745449,0.7429601061740678,0.0005051869447291,0.9287004954051326,0.7424549192293387,9.20253391825556e-23,0.6478590629800307,0.7048348130727466,3.5,19,0.0031048349392519842,0.0345242206323708,resonant phase-memory,0.4647893532856033,2.611517872061323e-52,0.6087500000000001,0.4649708928571429,0.0001815395715395,0.8658802976190476,3.8717,0.119,-0.012564123366442203
3.8725,0.1245,4,0.0,0.0,0.8261404557304255,2.6119402985074623e-05,0.9492093932613086,0.8261143363274404,2.60592024839034e-13,0.6420033931122641,0.3663400982387459,0.0,21,0.002624880949681285,0.0470047507504,resonant phase-memory,0.6267073443223444,1.082947643011227e-124,0.7435416666666665,0.6267145238095239,7.17948717948718e-06,0.8986682142857143,3.875,0.1253,-0.0470047507504
3.8725,0.127,4,0.0174701420992884,0.0042757148706082,0.630433496610916,9.850838788178962e-05,0.8838560157920037,0.6303349882230341,1.0822083464496768e-107,0.7771222393198199,0.4147729529952739,3.0,21,0.0030232432915661546,0.0470047507504,resonant phase-memory,0.6267073443223444,1.082947643011227e-124,0.7435416666666665,0.6267145238095239,7.17948717948718e-06,0.8986682142857143,3.875,0.1253,-0.029534608651111596
3.8725,0.1295,4,0.0111135711886852,0.00288560155006,0.6390191679959825,0.0,0.8705246014066579,0.6390191679959825,5.28465226056079e-192,0.8350690161652863,0.2338290044463349,2.0,22,0.002773084924772364,0.1331205419170666,resonant phase-memory,0.6182312314074814,1.1021062065907796e-193,0.8171388888888889,0.6182623214285714,3.1090021090021096e-05,0.8865575595238095,3.875,0.1307,-0.1220069707283814
3.8725,0.132,4,0.0057168037845718,0.0006560203353594,0.6833358348640607,0.0002820418988291,0.8867577670984929,0.6830537929652315,3.313555697152131e-141,0.7956995826753892,0.1302850887468387,1.0,22,0.002817800560721025,0.1331205419170666,resonant phase-memory,0.6182312314074814,1.1021062065907796e-193,0.8171388888888889,0.6182623214285714,3.1090021090021096e-05,0.8865575595238095,3.875,0.1307,-0.1274037381324948
3.8725,0.1345,4,0.0721844278156259,0.0801711041118905,0.6507679505474364,0.0021864835034429,0.8756828529333569,0.6485814670439936,0.0002155214023168,0.7233141307617115,0.5153994996587679,29.0,23,0.002915475947422605,0.0671839151795312,resonant phase-memory,0.5208929534354534,3.5880070910118945e-58,0.6995055555555554,0.5210622619047618,0.0001693084693084,0.8661719642857143,3.875,0.136,0.0050005126360946894
3.8725,0.137,4,0.0,0.0,0.8077115255376344,0.0002139183943349,0.939602798411266,0.8074976071432995,7.109898605172829e-12,0.6504166666666666,0.6813188699796294,0.0,23,0.002692582403567203,0.0671839151795312,resonant phase-memory,0.5208929534354534,3.5880070910118945e-58,0.6995055555555554,0.5210622619047618,0.0001693084693084,0.8661719642857143,3.875,0.136,-0.0671839151795312
3.875,0.122,4,0.0141543770307934,0.0106050311087294,0.5377726733951532,0.0013209649371254,0.8559972146469123,0.5364517084580278,0.0002508904383046,0.5517556125701057,0.559502757581018,7.5,20,0.0020000000000000018,0.0194676905466795,resonant phase-memory,0.3910045505883006,1.0587957834814776e-17,0.4403102878629166,0.3920310119047618,0.0010264613164612,0.8331837500000001,3.875,0.12,-0.0053133135158860995
3.875,0.1245,4,0.0245233524421393,0.0155525736772114,0.6455320635345837,0.0014372656489284,0.8931263531495386,0.6440947978856552,0.0024786666791758,0.6648118964368964,0.6406808282767363,4.5,21,0.0007999999999999952,0.0470047507504,resonant phase-memory,0.6267073443223444,1.082947643011227e-124,0.7435416666666665,0.6267145238095239,7.17948717948718e-06,0.8986682142857143,3.875,0.1253,-0.022481398308260698
3.875,0.127,4,0.0199177721529853,0.0081649621766047,0.724885069903215,0.0,0.916652274304996,0.724885069903215,4.3369916746584406e-94,0.7441348033686743,0.4421315249627021,3.0,21,0.001700000000000007,0.0470047507504,resonant phase-memory,0.6267073443223444,1.082947643011227e-124,0.7435416666666665,0.6267145238095239,7.17948717948718e-06,0.8986682142857143,3.875,0.1253,-0.0270869785974147
3.875,0.1295,4,0.0017193768889036,0.0022082054560376,0.6461459419276959,0.0001036908990352,0.8828223594282063,0.6460422510286606,5.115155912274605e-116,0.7701538045288046,0.2669673232514335,0.5,22,0.0012000000000000066,0.1331205419170666,resonant phase-memory,0.6182312314074814,1.1021062065907796e-193,0.8171388888888889,0.6182623214285714,3.1090021090021096e-05,0.8865575595238095,3.875,0.1307,-0.131401165028163
3.875,0.132,4,0.006032596707249,0.0074306760870311,0.7435097263287789,0.0002468027812874,0.9160224036715972,0.7432629235474915,2.744777521425329e-16,0.7220023726273725,0.5661309223689639,1.0,22,0.0012999999999999956,0.1331205419170666,resonant phase-memory,0.6182312314074814,1.1021062065907796e-193,0.8171388888888889,0.6182623214285714,3.1090021090021096e-05,0.8865575595238095,3.875,0.1307,-0.1270879452098176
3.875,0.1345,4,0.0234096308999872,0.0358135227478066,0.572738409188258,0.000308153267004,0.8498775292248074,0.572430255921254,2.460302862001082e-128,0.7349944950351073,0.4794646353093846,65.5,23,0.0015000000000000013,0.0671839151795312,resonant phase-memory,0.5208929534354534,3.5880070910118945e-58,0.6995055555555554,0.5210622619047618,0.0001693084693084,0.8661719642857143,3.875,0.136,-0.04377428427954401
3.875,0.137,4,0.0,0.0,0.7893939145531887,8.11730819586279e-06,0.9298383538504508,0.7893857972449929,9.826343699559573e-09,0.6971620046620046,0.5049716202120267,0.0,23,0.0010000000000000009,0.0671839151795312,resonant phase-memory,0.5208929534354534,3.5880070910118945e-58,0.6995055555555554,0.5210622619047618,0.0001693084693084,0.8661719642857143,3.875,0.136,-0.0671839151795312
