r,epsilon,seed,n,horizon,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8675,0.127,707,80,360,4,0.9083347863494033,0.14890122273666756,0.7621664739830063,0.0,0.0,0.7621664739830063,0.3360609298981997,1,0.002444544807783988
3.8675,0.127,1313,80,360,4,0.9103906417842911,0.12787790524893367,0.7716041423294447,0.0003205727664453074,0.0,0.7712835695629995,0.5155127099113356,3,0.00812190788036146
3.8675,0.1295,101,80,360,4,0.90625,0.15625716702980996,0.775,0.0,0.0,0.775,0.037876664493705844,1,0.001990562460109068
3.8675,0.1295,707,80,360,4,0.93625,0.10625716702980999,0.8425,0.0,0.0,0.8425,0.16104477175644444,0,0.0
3.8675,0.1295,1313,80,360,4,0.9234531537011375,0.12272171544779391,0.8047278642056869,0.0009205797781870386,0.00018663493764300217,0.8038072844274998,0.5548262555365805,1,0.0026466843671990093
3.8675,0.132,101,80,360,4,0.8870578844878241,0.15347958052317834,0.7141363547406895,0.001418803930369841,0.0007899271427497234,0.7127175508103196,0.39294552850411013,2,0.005428404715907559
3.8675,0.132,707,80,360,4,0.8943607348632551,0.16925268254331782,0.7365921942640694,7.462686567164179e-06,0.0,0.7365847315775023,0.4978427444525985,2,0.0056490584927211054
3.8675,0.132,1313,80,360,4,0.9326898434227064,0.10546108484175706,0.8249493122804614,0.00018607808222723568,0.0,0.8247632341982342,0.612076175965525,0,0.0
3.8675,0.1345,101,80,360,4,0.9486929372710623,0.08215978777326574,0.8655230659797193,0.0002638216093782606,0.0,0.8652592443703411,0.6871726612933915,0,0.0
3.8675,0.1345,707,80,360,4,0.8692918350131051,0.19961180780151716,0.6761913506520362,0.0005902568510915355,3.9434523809523814e-05,0.6756010938009447,0.3838483340938184,2,0.005374460264502523
3.8675,0.1345,1313,80,360,4,0.9023392660766654,0.13972686057052022,0.7470569009283727,0.0001423815970539241,6.30095710740872e-05,0.7469145193313188,0.4513908697905335,1,0.0026781472226296245
3.8675,0.137,101,80,360,4,0.8807197533649147,0.1736408345802974,0.6604737409767651,0.004407374314529468,0.001479129237697786,0.6560663666622357,0.8046542625103643,4,0.012586438758280019
3.8675,0.137,707,80,360,4,0.8923352663801252,0.16672153746064428,0.7276477229088116,0.0007009139305941967,5.8665293040293035e-05,0.7269468089782174,0.7185612455147179,7,0.022453271261887443
3.8675,0.137,1313,80,360,4,0.9398230840060476,0.1000589049462961,0.8468916572338951,0.0,0.0,0.8468916572338951,0.8945681994163607,0,0.0
