N,boundary_complexity,bridge_formula,bridge_score,cluster_count,coexistence,entropy,epsilon,motif_persistence,order,phase_variance,r,sensitivity,spatial_entropy,steps,temporal_entropy,transient
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.045618125605152084,13,0.6810639063470783,0.6093370865242647,0.30000000000000004,0.5774425287356322,0.9282731801771864,0.05094007463005479,3.7625,0.2309825920107238,0.700887195115805,300,0.49744250935682627,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.07726916255280483,15,0.7480056432615039,0.6756106186958821,0.4,0.6521551724137931,0.9276049754343783,0.06107703257216035,3.7625,0.3069782453544814,0.801010750876251,300,0.5223437904754311,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.05744139343107325,13,0.6639834988684074,0.5738777599856112,0.5,0.5,0.9098942611172038,0.057380643482064286,3.7625,0.3398464515929782,0.7193881316637258,300,0.39603175015680425,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.08422005242031275,9,0.7917262370993111,0.7189467059628745,0.6000000000000001,0.6275862068965518,0.9272204688635634,0.05595738293223429,3.7625,0.30167088670417797,0.8492657443458167,300,0.5596678812726117,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.04195454599214885,11,0.7117375876150093,0.6184974693731049,0.7000000000000001,0.7708333333333334,0.9067598817580956,0.05992043349036147,3.7625,0.18262820487359402,0.8257747099486703,300,0.365158619780747,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.0530309807518419,11,0.6884848238111031,0.5719091390358985,0.8,0.9668103448275862,0.8834243152247954,0.05801573976249219,3.7625,0.23850256685458693,0.8170880962849122,300,0.27224596906488174,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.052888391847580325,11,0.7267891031908835,0.6499270514566773,0.9,0.7943965517241379,0.9231379482657938,0.06026150410815878,3.7625,0.20797874328121102,0.816311399359527,300,0.446568404019861,450
48,0.1326388888888889,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.04354697128611912,25,0.7375268280155107,0.6639023782426978,1.0,0.8093390804597701,0.9263755502271871,0.05432060656595661,3.7625,0.15237908761729077,0.7540059168544859,300,0.5537758310505123,450
48,0.22909722222222223,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.003512089044154246,17,0.9978172668123502,0.9009519154111976,0.0,0.20991379310344827,0.8987691822235477,0.07247620349202721,3.8,0.009840291345651985,0.9065392407045627,300,0.8941229622748621,450
48,0.34444444444444444,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.008053798878935554,35,0.7469874157794781,0.6277445338059552,0.1,0.5987068965517242,0.880757118026477,0.0755199015136584,3.8,0.03165961173431589,0.6981946439650623,300,0.541638843611491,450
48,0.059305555555555556,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.07701513301440166,14,0.8336580234071238,0.7527927485753058,0.2,0.614367816091954,0.919134725168182,0.06864900487785719,3.8,0.24660158371597687,0.7936934804411302,300,0.7028029651837424,450
