r,epsilon,long_memory_score,smooth_even_score,resonant_even_score,odd_even_motif_index,even_decay_index,motif_25,motif_50,motif_75,motif_100,motif_125,motif_150,motif_175,motif_200,motif_225,motif_250,motif_260,comp_25,comp_50,comp_75,comp_100,comp_125,comp_150,comp_175,comp_200,comp_225,comp_250,comp_260,frame_25,frame_50,frame_75,frame_100,frame_125,frame_150,frame_175,frame_200,frame_225,frame_250,frame_260,wall_period,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period,frame_even_mean,motif_even_mean,motif_odd_mean,comp_even_mean,parity_index,smooth_index,resonance_index,class,atlas_score
3.875,0.12,1.5394653152515514e-05,5.844424688388805e-06,9.55022846412671e-06,0.3910045505883006,0.0163839285714285,0.0004666666666666,0.3513571428571428,0.0006346153846153,0.5034166666666666,0.0011818181818181,0.3394749999999999,0.0015277777777777,0.43453125,0.0013214285714285,0.331375,0.3953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1920333333333333,0.8266249999999999,0.2018846153846153,0.8744583333333333,0.210340909090909,0.816575,0.2194722222222222,0.84396875,0.2281071428571428,0.8042916666666666,0.8235714285714286,300.5,0.7999235364147358,-0.0216279592484229,0.2167831455978293,22.0,102.21724925387448,0.8331837500000001,0.39203101190476186,0.0010264613164612398,0.0,0.39100455058830064,1.0587957834814777e-17,0.44031028786291665,resonant phase-memory,0.01714834781837458
3.875,0.1253,1.1047122284978994e-06,0.0,1.1047122284978994e-06,0.6267073443223443,0.0,1.6666666666666667e-05,0.5013392857142858,1.923076923076923e-05,0.8447291666666666,0.0,0.496525,0.0,0.8115625,0.0,0.4794166666666667,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1459666666666666,0.8568035714285714,0.1470384615384615,0.9674583333333332,0.1481818181818182,0.8556,0.1490555555555555,0.9590625,0.151,0.8544166666666666,0.9326339285714286,2.1944444444444446,0.5361935269270578,-0.0121812527935194,0.1639510994604295,8.0,2.1944444444444446,0.8986682142857143,0.6267145238095239,7.17948717948718e-06,0.0,0.6267073443223444,1.082947643011227e-124,0.7435416666666665,resonant phase-memory,0.007406010959107713
3.875,0.1307,3.834824047647196e-05,0.0,3.834824047647196e-05,0.6182312314074814,0.0,5e-05,0.4762678571428571,1.923076923076923e-05,0.8959166666666667,2.272727272727273e-05,0.4509499999999999,2.777777777777778e-05,0.8479687499999999,3.571428571428572e-05,0.4202083333333333,0.8226339285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1637833333333333,0.8395357142857143,0.1659230769230769,0.9758333333333332,0.1694772727272727,0.83245,0.17375,0.96321875,0.1790357142857143,0.82175,0.9559375,300.5,0.5762866756756921,-0.0592897411929765,0.1833802362447044,21.0,300.5,0.8865575595238095,0.6182623214285714,3.1090021090021096e-05,0.0,0.6182312314074814,1.1021062065907796e-193,0.8171388888888889,resonant phase-memory,0.024973632032194753
3.875,0.136,2.640244100832376e-05,0.0,2.640244100832376e-05,0.5208929534354534,0.0,8.333333333333334e-05,0.4584821428571428,3.846153846153846e-05,0.7126874999999999,0.0001136363636363,0.42335,0.0001111111111111,0.61975,0.0005,0.3910416666666667,0.571875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668833333333333,0.8435535714285715,0.1764230769230769,0.9300625,0.1845681818181818,0.83265,0.1903333333333333,0.90209375,0.1969285714285714,0.8225,0.8860714285714286,301.0,0.6786801297146003,-0.0353514250437099,0.1851920540125427,19.0,201.00251256281408,0.8661719642857143,0.5210622619047618,0.00016930846930845436,0.0,0.5208929534354534,3.5880070910118945e-58,0.6995055555555554,resonant phase-memory,0.021936090843599855
3.8883,0.103,3.4448381727235165e-06,0.0,3.4448381727235165e-06,0.1661411401098901,0.0,0.0007833333333333,0.2177678571428571,0.0018076923076923,0.1795416666666666,0.0025,0.152325,0.0069166666666666,0.15628125,0.0105357142857142,0.1473333333333333,0.1512946428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2846666666666666,0.7733392857142857,0.3102884615384615,0.7505625,0.3288863636363636,0.73175,0.3410277777777777,0.71971875,0.3531785714285714,0.7075,0.7027678571428572,201.49292149292148,0.8201269305375823,-0.0165081779148936,0.3862671047620287,10.0,201.49292149292148,0.7365741071428571,0.1706498214285714,0.00450868131868128,0.0,0.16614114010989012,0.0,0.0827666682413706,ordinary frame persistence,0.1228397690413437
3.8883,0.1083,1.381546920233304e-05,6.85248811451704e-06,6.962981087815999e-06,0.4039240044677544,0.0659406309523809,0.0007666666666666,0.4191607142857143,0.0013076923076923,0.4029166666666666,0.0009090909090909,0.407225,0.0007777777777777,0.40190625,0.0015357142857142,0.3937083333333333,0.3875446428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743166666666666,0.8531428571428572,0.1809807692307692,0.8485416666666666,0.1837045454545454,0.8449,0.1904722222222222,0.83690625,0.19325,0.83375,0.8332589285714286,201.82652210175144,0.745807659455765,-0.0237362111428097,0.2186145729602863,13.0,102.375972651202,0.8434481547619048,0.4049833928571429,0.0010593883893883402,0.0,0.40392400446775456,0.4760361107843023,0.346155090941988,smooth even-lag motif memory,0.006068781339210575
3.8883,0.1137,2.515458240760179e-05,1.244002251479825e-05,1.271455989280354e-05,0.5384633544233545,0.0970366428571428,0.0005,0.5863928571428572,0.0012692307692307,0.5595416666666666,0.0015227272727272,0.538575,0.0012222222222222,0.521875,0.0019285714285714,0.492375,0.4860714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1399,0.8851607142857143,0.1570192307692307,0.8680208333333334,0.1690227272727272,0.857775,0.1752777777777777,0.8471875,0.1882857142857142,0.8277083333333333,0.82,240.0,0.7316251991657602,-0.0526367086663997,0.1412295516782498,15.0,121.03896804835924,0.8571704761904761,0.5397519047619047,0.0012885503385503,0.0,0.5384633544233544,0.6709392084392392,0.4972357142857143,smooth even-lag motif memory,0.00497931536568794
3.8883,0.119,1.276926621933525e-05,3.994414749936636e-06,8.774851469398614e-06,0.3898901411088911,0.0504156785714285,0.0009666666666666,0.4441785714285714,0.0009230769230769,0.4226458333333333,0.0010681818181818,0.39355,0.0011666666666666,0.36146875,0.0016428571428571,0.333375,0.33125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1883166666666666,0.8445178571428571,0.2072692307692307,0.8330208333333333,0.2156363636363636,0.814125,0.2356111111111111,0.7953125000000001,0.2470714285714285,0.7787083333333333,0.7772321428571429,400.0,0.7890112438354178,-0.0270034965564228,0.1998366397905784,14.0,101.50251256281408,0.8131369047619048,0.3910436309523809,0.0011534898434897999,0.0,0.38989014110889114,0.3125988420763407,0.38412691741654065,resonant phase-memory,0.010511660285048985
3.905,0.103,3.6422402789289995e-07,0.0,3.6422402789289995e-07,0.1972443059718059,0.0,0.0010833333333333,0.2503035714285714,0.0024230769230769,0.206375,0.002590909090909,0.1906749999999999,0.0056388888888888,0.1823125,0.0072499999999999,0.1755416666666666,0.1725892857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28305,0.7843928571428571,0.2990384615384615,0.7641458333333333,0.3143181818181818,0.7499750000000001,0.3290277777777777,0.7344062499999999,0.3378214285714285,0.7190416666666667,0.7183035714285715,36.17250673854448,0.814207510895157,-0.0033593184532293,0.4182414755925981,13.0,3.791554357592093,0.7503923214285715,0.20104154761904755,0.0037972416472415796,0.0,0.19724430597180598,0.0,0.11181136640358609,ordinary frame persistence,0.12047634175636411
3.905,0.1083,1.584956936150672e-06,0.0,1.584956936150672e-06,0.1991908533133533,0.0,0.0011333333333333,0.2325714285714285,0.0018076923076923,0.2116041666666666,0.0031136363636363,0.200125,0.004,0.1935,0.0077499999999999,0.1759583333333333,0.1844196428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621666666666666,0.7772857142857142,0.2836538461538461,0.7578333333333334,0.297,0.74485,0.32125,0.72246875,0.3401071428571428,0.70225,0.7063392857142857,102.76078831124704,0.7248878864046786,-0.0363162862501387,0.3681204431974788,21.0,102.76078831124704,0.7409375595238096,0.20275178571428568,0.0035609324009323604,0.0,0.19919085331335332,0.0,0.10422264235638695,ordinary frame persistence,0.1186699149580697
3.905,0.1137,4.0076223003520456e-05,1.8745346333141206e-05,2.133087667037925e-05,0.3625099443611944,0.0597877619047619,0.0009333333333333,0.3977857142857143,0.0008653846153846,0.3727708333333333,0.0011818181818181,0.350375,0.0026111111111111,0.34203125,0.0035714285714285,0.35875,0.3408482142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18425,0.8397678571428572,0.2046923076923076,0.8197916666666667,0.2228409090909091,0.8006,0.2355277777777777,0.79653125,0.2378928571428571,0.79425,0.7882589285714285,250.0,0.8147598085638164,-0.0306963150975247,0.189581454275152,14.0,250.5586592178771,0.8101881547619048,0.3643425595238095,0.0018326151626151198,0.0,0.3625099443611944,0.3069594164151076,0.32085133518636616,resonant phase-memory,0.00851973880776216
3.905,0.119,5.0777637207585496e-05,2.5388818603792748e-05,2.5388818603792748e-05,0.4977970768120768,0.1001779523809523,0.0011666666666666,0.5528571428571429,0.0020384615384615,0.5087916666666666,0.0021590909090909,0.493925,0.0047777777777777,0.48325,0.0053214285714285,0.465625,0.4537053571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1545333333333333,0.8691785714285714,0.1789615384615384,0.8443541666666667,0.1931136363636363,0.8291,0.2063055555555555,0.8203750000000001,0.21225,0.8096666666666666,0.8041071428571429,350.0,0.7562217008471728,-0.0572998412145202,0.1401358401658106,13.0,300.561797752809,0.8345348809523809,0.500889761904762,0.00309268509268504,0.0,0.4977970768120769,0.5972984740096211,0.47929761904761914,smooth even-lag motif memory,0.004048308007197932
