r,epsilon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,comp_odd,parity,smooth,resonance,wall_spectral_entropy,max_cluster_lifetime,atlas_score,class,motif_25,frame_25,comp_25,motif_50,frame_50,comp_50,motif_75,frame_75,comp_75,motif_100,frame_100,comp_100,motif_125,frame_125,comp_125,motif_150,frame_150,comp_150,motif_175,frame_175,comp_175,motif_200,frame_200,comp_200,motif_225,frame_225,comp_225,motif_250,frame_250,comp_250
3.855,0.1345,101,4,0.8940507939641004,0.1523449093157271,0.6773908718969203,0.0027474620247096054,0.0,0.5242472285091162,0.6746434098722106,5.354612184367358e-19,0.592944582299421,0.9027290420245639,5,0.0380795246660027,resonant phase-memory,0.0027611940298507462,0.15253731343283583,0.5232089552238806,0.6234677419354838,0.8686290322580645,0.0,0.0028947368421052633,0.1524561403508772,0.5226315789473684,0.7628846153846154,0.9264423076923077,0.0,0.0031914893617021275,0.1524468085106383,0.5258510638297872,0.6251190476190476,0.8721428571428571,0.0,0.0022972972972972973,0.15243243243243243,0.5197297297297298,0.7509375,0.9253125,0.0,0.0025925925925925925,0.15185185185185185,0.5298148148148148,0.6245454545454545,0.8777272727272727,0.0
3.855,0.1345,101,6,0.8940507939641004,0.1523449093157271,0.5674064836373305,0.00015199416628441714,0.0,0.3602740920124885,0.5672544894710461,1.2783006257984126e-30,0.5952657342657343,0.9027290420245639,5,0.022526104197173446,resonant phase-memory,0.00014925373134328358,0.15253731343283583,0.3585074626865672,0.5019354838709678,0.8686290322580645,0.0,0.0,0.1524561403508772,0.3599122807017544,0.6789423076923077,0.9264423076923077,0.0,0.000425531914893617,0.1524468085106383,0.36106382978723406,0.5032142857142857,0.8721428571428571,0.0,0.0,0.15243243243243243,0.3554054054054054,0.65953125,0.9253125,0.0,0.00018518518518518518,0.15185185185185185,0.36648148148148146,0.4934090909090909,0.8777272727272727,0.0
3.855,0.1345,707,4,0.8658276944829364,0.2072122535699444,0.633344726845735,0.0018532997907402481,0.0,0.3577959634351472,0.6314914270549947,1.7698884404869412e-156,0.7499966397849462,0.693700442045966,2,0.014678325024337038,resonant phase-memory,0.001791044776119403,0.20723880597014926,0.35388059701492536,0.48016129032258065,0.8048387096774193,0.0,0.0016666666666666668,0.20692982456140352,0.358421052631579,0.8517307692307692,0.9542307692307692,0.0,0.0019148936170212765,0.20797872340425533,0.35595744680851066,0.4903571428571429,0.8096428571428571,0.0,0.0014864864864864865,0.20743243243243242,0.35905405405405405,0.85515625,0.9540625,0.0,0.0024074074074074076,0.2064814814814815,0.3616666666666667,0.4893181818181818,0.8063636363636364,0.0
3.855,0.1345,707,6,0.8658276944829364,0.2072122535699444,0.520193849497277,9.078286556516906e-05,0.0,0.19947760672039055,0.5201030666317118,5.652399260602287e-244,0.8031227744030163,0.693700442045966,2,0.007728612619533238,resonant phase-memory,7.462686567164179e-05,0.20723880597014926,0.1957462686567164,0.3310483870967742,0.8048387096774193,0.0,8.771929824561403e-05,0.20692982456140352,0.2006140350877193,0.7925,0.9542307692307692,0.0,0.00010638297872340425,0.20797872340425533,0.19680851063829788,0.3435714285714286,0.8096428571428571,0.0,0.0,0.20743243243243242,0.20310810810810812,0.79703125,0.9540625,0.0,0.00018518518518518518,0.2064814814814815,0.2011111111111111,0.3368181818181818,0.8063636363636364,0.0
3.855,0.137,101,4,0.9376273407372198,0.08650414458181335,0.8027730975341862,0.0006019909030054272,0.0,0.713185473016263,0.8021711066311809,0.0003621854319741346,0.5646386946386945,0.8499731382414586,0,0.0,resonant phase-memory,0.0007462686567164179,0.08477611940298507,0.7169402985074627,0.7842741935483871,0.9275806451612904,0.0,0.0008771929824561404,0.08517543859649122,0.7170175438596491,0.8517307692307692,0.9556730769230769,0.0,0.000425531914893617,0.08638297872340425,0.7152127659574468,0.7826190476190477,0.9302380952380952,0.0,0.0004054054054054054,0.0872972972972973,0.7117567567567568,0.84046875,0.95328125,0.0,0.0005555555555555556,0.08888888888888889,0.705,0.7547727272727273,0.9213636363636364,0.0
3.855,0.137,101,6,0.9376273407372198,0.08650414458181335,0.7252452812644345,0.0,0.0,0.5930097860893435,0.7252452812644345,3.925920868839599e-08,0.5857167832167831,0.8499731382414586,0,0.0,resonant phase-memory,0.0,0.08477611940298507,0.5955970149253731,0.6980645161290323,0.9275806451612904,0.0,0.0,0.08517543859649122,0.5956140350877193,0.7922115384615385,0.9556730769230769,0.0,0.0,0.08638297872340425,0.5961702127659575,0.695595238095238,0.9302380952380952,0.0,0.0,0.0872972972972973,0.5922972972972973,0.77671875,0.95328125,0.0,0.0,0.08888888888888889,0.5853703703703703,0.6636363636363637,0.9213636363636364,0.0
3.855,0.137,707,4,0.8932569960281654,0.14636227876018287,0.6517504014802402,0.001624234118626658,0.0,0.550628920006567,0.6501261673616135,3.8162298928686834e-08,0.5451505376344086,0.8860009129050587,6,0.04057809642302469,resonant phase-memory,0.0015671641791044776,0.14604477611940297,0.5448507462686567,0.6092741935483871,0.8733870967741936,0.0,0.0013157894736842105,0.14666666666666667,0.546578947368421,0.69625,0.9107692307692308,0.0,0.0019148936170212765,0.14840425531914894,0.5427659574468086,0.6147619047619047,0.8796428571428572,0.0,0.002027027027027027,0.14662162162162162,0.5528378378378378,0.704375,0.91453125,0.0,0.0012962962962962963,0.14407407407407408,0.5661111111111111,0.634090909090909,0.8879545454545454,0.0
3.855,0.137,707,6,0.8932569960281654,0.14636227876018287,0.5240456905325857,4.8303622771707876e-05,0.0,0.39974287951436926,0.5239973869098139,3.154626873392124e-14,0.5175793650793651,0.8860009129050587,6,0.018650670127530942,resonant phase-memory,0.0,0.14604477611940297,0.3925373134328358,0.4729032258064516,0.8733870967741936,0.0,0.0,0.14666666666666667,0.3931578947368421,0.5828846153846153,0.9107692307692308,0.0,0.00010638297872340425,0.14840425531914894,0.38968085106382977,0.4723809523809524,0.8796428571428572,0.0,0.00013513513513513514,0.14662162162162162,0.4014864864864865,0.59296875,0.91453125,0.0,0.0,0.14407407407407408,0.42185185185185187,0.4990909090909091,0.8879545454545454,0.0
3.8575,0.122,101,4,0.9308005019174374,0.10954062223544599,0.8133273497335998,8.914177335229967e-05,0.0,0.6344799299642274,0.8132382079602475,1.1035495086310924e-60,0.658653846153846,0.4578444823474626,0,0.0,resonant phase-memory,0.0,0.10970149253731343,0.6347014925373134,0.7175,0.8912096774193549,0.0,0.00017543859649122806,0.11,0.6328947368421053,0.9554807692307692,0.9880769230769231,0.0,0.0,0.10946808510638298,0.634468085106383,0.7201190476190477,0.8925,0.0,0.0002702702702702703,0.10945945945945947,0.6345945945945946,0.94671875,0.985625,0.0,0.0,0.10907407407407407,0.6357407407407407,0.7268181818181818,0.8965909090909091,0.0
3.8575,0.122,101,6,0.9308005019174374,0.10954062223544599,0.744643069631981,0.0,0.0,0.48676058808553674,0.744643069631981,1.3044559838586253e-112,0.7143238213399503,0.4578444823474626,0,0.0,resonant phase-memory,0.0,0.10970149253731343,0.4873880597014925,0.6157258064516129,0.8912096774193549,0.0,0.0,0.11,0.48447368421052633,0.9372115384615385,0.9880769230769231,0.0,0.0,0.10946808510638298,0.4870212765957447,0.6189285714285714,0.8925,0.0,0.0,0.10945945945945947,0.4862162162162162,0.92453125,0.985625,0.0,0.0,0.10907407407407407,0.4887037037037037,0.6268181818181818,0.8965909090909091,0.0
