r,epsilon,n,horizon,seed,sigma,motif_size,partition,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,359,0.0,6,median,0.7287805080413818,0.9944594861793364,0.0,0.0,0.9944594861793364
3.8625,0.132,320,1440,401,0.0,4,fixed_half,0.5,0.8288239635969463,8.406527502685869e-06,0.0,0.8288155570694437
3.8625,0.132,320,1440,401,0.0,4,median,0.7111912965774536,0.999462478847055,0.0,0.0,0.999462478847055
3.8625,0.132,320,1440,401,0.0,6,fixed_half,0.5,0.7729723191138285,0.0,0.0,0.7729723191138285
3.8625,0.132,320,1440,401,0.0,6,median,0.7111912965774536,0.9992243587739488,0.0,0.0,0.9992243587739488
3.8625,0.132,320,1440,457,0.0,4,fixed_half,0.5,0.8319253476170662,1.3238239062579455e-05,3.363933076147475e-06,0.8319121093780035
3.8625,0.132,320,1440,457,0.0,4,median,0.7231712341308594,0.9984966603446018,0.0,0.0,0.9984966603446018
3.8625,0.132,320,1440,457,0.0,6,fixed_half,0.5,0.7787375215637493,0.0,0.0,0.7787375215637493
3.8625,0.132,320,1440,457,0.0,6,median,0.7231712341308594,0.9978321585295975,0.0,0.0,0.9978321585295975
3.8625,0.132,320,1440,17,0.001,4,fixed_half,0.5,0.7220041295792266,6.895676315745164e-06,0.0,0.7219972339029108
3.8625,0.132,320,1440,17,0.001,4,median,0.7233332991600037,0.9975594618005825,0.0,0.0,0.9975594618005825
3.8625,0.132,320,1440,17,0.001,6,fixed_half,0.5,0.6347261998257009,0.0,0.0,0.6347261998257009
3.8625,0.132,320,1440,17,0.001,6,median,0.7233332991600037,0.9965443697741858,0.0,0.0,0.9965443697741858
3.8625,0.132,320,1440,42,0.001,4,fixed_half,0.5,0.7356504933593537,0.0,0.0,0.7356504933593537
3.8625,0.132,320,1440,42,0.001,4,median,0.7215096950531006,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,42,0.001,6,fixed_half,0.5,0.6459069725311917,0.0,0.0,0.6459069725311917
3.8625,0.132,320,1440,42,0.001,6,median,0.7215096950531006,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,73,0.001,4,fixed_half,0.5,0.7632168575753477,1.6777244988242104e-05,0.0,0.7632000803303595
3.8625,0.132,320,1440,73,0.001,4,median,0.7295071482658386,0.9947237182577199,0.0,0.0,0.9947237182577199
3.8625,0.132,320,1440,73,0.001,6,fixed_half,0.5,0.6781200114902992,9.157509157509158e-07,0.0,0.6781190957393834
3.8625,0.132,320,1440,73,0.001,6,median,0.7295071482658386,0.992532428867707,0.0,0.0,0.992532428867707
