r,epsilon,domain_wall_density,mean_wall_velocity,median_wall_velocity,lag1_similarity,lag5_similarity,lag10_similarity,lag20_similarity,motif_simpson,motif_entropy,motif_count,slow_domain_wall_score
3.4,0.9166666666666666,0.03333333333333333,4.0,4.0,0.13333333333333333,0.1333333333333333,1.0,1.0,0.3925,1.7940003866806298,11,5.5213344929114e-15
3.4,1.0,0.38142857142857145,2.1275265501884206,2.066666666666667,0.3980815347721822,0.3982716049382715,0.9993589743589745,0.9988888888888889,0.17043594104308388,3.2937725957817863,19,9.173118151447013e-08
3.4499999999999997,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.03638888888888889,4.877480289060882,32,0.022263809470203563
3.4499999999999997,0.08333333333333333,0.25,1.1928314491264131,1.3125,0.25,0.25,1.0,1.0,0.09722222222222222,3.721633141833039,17,0.00010927217478885768
3.4499999999999997,0.16666666666666666,0.1,2.7553956834532376,3.5,0.26666666666666666,0.2666666666666666,1.0,1.0,0.25,2.71243932131909,14,2.1524999982964792e-10
3.4499999999999997,0.25,0.06666666666666667,2.0,2.0,0.13333333333333333,0.1333333333333333,1.0,1.0,0.2951388888888889,2.3496934217514593,12,6.13551738618136e-08
3.4499999999999997,0.3333333333333333,0.06666666666666667,2.0,2.0,0.13333333333333333,0.1333333333333333,1.0,1.0,0.29958333333333337,2.347866621508973,13,6.163869235474904e-08
3.4499999999999997,0.41666666666666663,0.03333333333333333,2.4424460431654675,2.5,0.08141486810551557,0.08160493827160492,0.9993589743589745,0.9988888888888888,0.3810930839002267,1.8276492065137013,10,1.3263413185905617e-09
3.4499999999999997,0.5,0.0,,,0.0,0.0,1.0,1.0,0.5,0.9999999999999997,2,0.0
3.4499999999999997,0.5833333333333333,0.06666666666666667,2.631294964028777,2.75,0.17541966426858513,0.17530864197530863,0.998974358974359,0.9984722222222222,0.3009942176870748,2.3409607274089277,15,4.206382705147813e-10
3.4499999999999997,0.6666666666666666,0.06666666666666667,3.070143884892086,3.0,0.20467625899280573,0.20481481481481478,0.9987179487179488,0.9972222222222221,0.31290464852607713,2.3369581341723107,16,1.320077250394699e-11
3.4499999999999997,0.75,0.0,,,0.0,0.0,1.0,1.0,0.5,0.9999999999999997,2,0.0
3.4499999999999997,0.8333333333333333,0.0,,,0.0,0.0,1.0,1.0,0.5,0.9999999999999997,2,0.0
