r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0,80,720,707,4,0.5243684664805939,0.5212223365368379,0.07541867809798261,0.07466807534605158,0.05019549833509547,0.0007506027519310343,0.9172567469196841,6,0.0
3.8625,0,80,720,707,6,0.5243684664805939,0.5212223365368379,0.020474227430525675,0.020594974885976298,0.010814498541756966,0.0,0.9172567469196841,6,0.0
3.8625,0,80,720,1313,4,0.5236684207224004,0.518955561124607,0.07516620560529334,0.072414641052587,0.052548190553896645,0.002751564552706337,0.9265504672954904,8,0.0
3.8625,0,80,720,1313,6,0.5236684207224004,0.518955561124607,0.020002995000226655,0.01957545205276475,0.012362487784209505,0.0004275429474619036,0.9265504672954904,8,0.0
3.8625,0,120,360,101,4,0.5204166808773664,0.5180716012709516,0.07320217864572702,0.07223516068981908,0.0527259162208759,0.0009670179559079367,0.9052659649622762,5,0.0
3.8625,0,120,360,101,6,0.5204166808773664,0.5180716012709516,0.01975086025086025,0.018904616298648376,0.012115730931255123,0.0008462439522118753,0.9052659649622762,5,0.0
3.8625,0,120,360,707,4,0.5253234626037045,0.5204615295600682,0.07508805598523341,0.07368041641168728,0.05018026753712237,0.0014076395735461295,0.9126870241672913,5,0.0
3.8625,0,120,360,707,6,0.5253234626037045,0.5204615295600682,0.020779051145986632,0.019964932362847604,0.011224766496943915,0.0008141187831390284,0.9126870241672913,5,0.0
3.8625,0,120,360,1313,4,0.5212643425123263,0.5202263341935529,0.0727485319340158,0.07246870695022434,0.051736479022769344,0.0002798249837914629,0.9177006251070666,7,0.0
3.8625,0,120,360,1313,6,0.5212643425123263,0.5202263341935529,0.018942437155138766,0.01949718130268904,0.011405674410714734,0.0,0.9177006251070666,7,0.0
3.8625,0,120,720,101,4,0.5218011093109161,0.5181907913590752,0.07395902245614736,0.07221519856592067,0.052239565242762145,0.0017438238902266895,0.9283291697421729,6,0.0
3.8625,0,120,720,101,6,0.5218011093109161,0.5181907913590752,0.019742458958830904,0.01955625211744464,0.012107943397591294,0.000186206841386264,0.9283291697421729,6,0.0
3.8625,0,120,720,707,4,0.5250740032211489,0.5213021156481724,0.0758638874479218,0.07450310318789173,0.050474497812598586,0.0013607842600300707,0.917360748736044,6,0.0
3.8625,0,120,720,707,6,0.5250740032211489,0.5213021156481724,0.02083883583173849,0.020441077200042602,0.011088809768643584,0.0003977586316958881,0.917360748736044,6,0.0
3.8625,0,120,720,1313,4,0.5220325425345539,0.5180292940781865,0.07381428476441527,0.0720009239225388,0.05244260779778307,0.0018133608418764713,0.922087296365026,7,0.0
3.8625,0,120,720,1313,6,0.5220325425345539,0.5180292940781865,0.019608128905976446,0.019365066173959253,0.012178091031213888,0.00024306273201719214,0.922087296365026,7,0.0
3.8625,0,160,360,101,4,0.52277811612111,0.5178250523425433,0.07487574849545617,0.07226313383631497,0.052463967148442946,0.002612614659141199,0.9075621916069814,5,0.0
3.8625,0,160,360,101,6,0.52277811612111,0.5178250523425433,0.020512492212088985,0.018975415546916945,0.01215567841097075,0.0015370766651720408,0.9075621916069814,5,0.0
3.8625,0,160,360,707,4,0.5243301085675077,0.5193086043289533,0.07422745215134327,0.07338776609840106,0.0504015768337845,0.0008396860529422123,0.9187417985378992,5,0.0
3.8625,0,160,360,707,6,0.5243301085675077,0.5193086043289533,0.02036661784116421,0.01988206817571194,0.011146135534492391,0.00048454966545227046,0.9187417985378992,5,0.0
3.8625,0,160,360,1313,4,0.519801562097177,0.5196602723421722,0.07319317090839268,0.07288598008682079,0.052685874609261704,0.0003071908215718927,0.9182259481489654,10,0.0
3.8625,0,160,360,1313,6,0.519801562097177,0.5196602723421722,0.01942727291189993,0.01998259395763198,0.011887009579801919,0.0,0.9182259481489654,10,0.0
3.8625,0,160,720,101,4,0.5224736742400835,0.5182524932584076,0.07460599458161235,0.07242825308920252,0.052293548683544536,0.002177741492409832,0.9228264808655177,7,0.0
3.8625,0,160,720,101,6,0.5224736742400835,0.5182524932584076,0.02023429631541165,0.019619174726619875,0.012163040304425703,0.0006151215887917755,0.9228264808655177,7,0.0
3.8625,0,160,720,707,4,0.5243193023087886,0.5202664896555932,0.07524233231820843,0.07416272788959796,0.05102640123917963,0.0010796044286104645,0.917331127148104,7,0.0
3.8625,0,160,720,707,6,0.5243193023087886,0.5202664896555932,0.02061195494938604,0.020564722467745194,0.011342187652479217,4.723248164084648e-05,0.917331127148104,7,0.0
3.8625,0,160,720,1313,4,0.5209014742879341,0.5188146380376386,0.07376197609118318,0.07259486013577163,0.053025988594870996,0.0011671159554115518,0.9217105795691183,10,0.0
3.8625,0,160,720,1313,6,0.5209014742879341,0.5188146380376386,0.01966280048112564,0.019646013615495433,0.012407941173988291,1.6786865630207676e-05,0.9217105795691183,10,0.0
3.8625,0,240,360,101,4,0.5238216317732447,0.5184249694949081,0.07509515098476792,0.07257392172079932,0.051844339128613325,0.002521229263968597,0.9167920485661052,14,0.0
3.8625,0,240,360,101,6,0.5238216317732447,0.5184249694949081,0.020764226868561546,0.01931962826704404,0.011958503470096212,0.0014445986015175043,0.9167920485661052,14,0.0
3.8625,0,240,360,707,4,0.5225931470523204,0.5194176562728205,0.07355842757153241,0.07338263587695042,0.05103012892125795,0.00017579169458199762,0.9168428323987141,6,0.0
3.8625,0,240,360,707,6,0.5225931470523204,0.5194176562728205,0.01986021863441218,0.019618025771477438,0.011637241119095958,0.0002421928629347432,0.9168428323987141,6,0.0
3.8625,0,240,360,1313,4,0.5197899515918669,0.5176644679421724,0.0730966434998693,0.07151169030451231,0.05287327977801768,0.0015849531953569945,0.9201277345656937,8,0.0
3.8625,0,240,360,1313,6,0.5197899515918669,0.5176644679421724,0.01965110539102475,0.019211886653915034,0.012051838338632694,0.0004392187371097152,0.9201277345656937,8,0.0
3.8625,0,240,720,101,4,0.5227606602775744,0.5178047276243486,0.07461843200388935,0.07208110874842552,0.05184604923117079,0.0025373232554638248,0.9258694427038364,14,0.0
3.8625,0,240,720,101,6,0.5227606602775744,0.5178047276243486,0.02055232945798435,0.019510794791186364,0.01186883863730419,0.001041534666797985,0.9258694427038364,14,0.0
3.8625,0,240,720,707,4,0.5233675166122033,0.5200872798166006,0.0750250951712225,0.07394160563505063,0.05177669804637487,0.0010834895361718638,0.908667131014101,12,0.0
3.8625,0,240,720,707,6,0.5233675166122033,0.5200872798166006,0.020469876809225317,0.020201726470451674,0.011758921289612374,0.0002681503387736428,0.908667131014101,12,0.0
3.8625,0,240,720,1313,4,0.5211617363383589,0.5193812094098205,0.07378943361206532,0.0726897153070073,0.052912244844334246,0.00109971830505802,0.9293029972435071,8,0.0
3.8625,0,240,720,1313,6,0.5211617363383589,0.5193812094098205,0.01985803991923082,0.019550901545778605,0.012348559652929598,0.00030713837345221554,0.9293029972435071,8,0.0
