r,epsilon,n,horizon,seed,sigma,motif_size,quantile,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,17,0.001,4,0.75,0.8858107328414917,0.34428865935829267,0.010658280221230165,3.774317324364915e-06,0.3336303791370625
3.8625,0.132,320,1440,17,0.001,6,0.25,0.4656274914741516,0.29838287605308544,0.0025769551961747463,0.0,0.2958059208569107
3.8625,0.132,320,1440,17,0.001,6,0.5,0.7234944105148315,0.9887553211551415,0.0,0.0,0.9887553211551415
3.8625,0.132,320,1440,17,0.001,6,0.75,0.8858107328414917,0.29826072130425774,0.0016574937549030944,0.0,0.29660322754935464
3.8625,0.132,320,1440,42,0.001,4,0.25,0.46575602889060974,0.33758940937180365,0.016849883378371264,0.0,0.32073952599343236
3.8625,0.132,320,1440,42,0.001,4,0.5,0.731326699256897,0.9999611232533704,0.0,0.0,0.9999611232533704
3.8625,0.132,320,1440,42,0.001,4,0.75,0.885834813117981,0.3362511055711313,0.014053222552668184,0.0,0.32219788301846314
3.8625,0.132,320,1440,42,0.001,6,0.25,0.46575602889060974,0.2852047167665167,0.003353393009547948,0.0,0.28185132375696875
3.8625,0.132,320,1440,42,0.001,6,0.5,0.731326699256897,0.9999416848800557,0.0,0.0,0.9999416848800557
3.8625,0.132,320,1440,42,0.001,6,0.75,0.885834813117981,0.28563139156002587,0.002601337827412642,0.0,0.28303005373261325
3.8625,0.132,320,1440,73,0.001,4,0.25,0.46578460931777954,0.32992877999166037,0.019907798670834875,2.1603692237800206e-05,0.3100209813208255
3.8625,0.132,320,1440,73,0.001,4,0.5,0.728702187538147,0.9948704646079877,2.0573549416911666e-05,1.989729805881085e-05,0.9948498910585708
3.8625,0.132,320,1440,73,0.001,4,0.75,0.8858137726783752,0.3285091204215825,0.017112723691687128,2.001748358779309e-05,0.31139639672989533
3.8625,0.132,320,1440,73,0.001,6,0.25,0.46578460931777954,0.27017682996853665,0.003950699246855838,8.992805755395683e-07,0.26622613072168083
3.8625,0.132,320,1440,73,0.001,6,0.5,0.728702187538147,0.9928221277987778,0.0,0.0,0.9928221277987778
3.8625,0.132,320,1440,73,0.001,6,0.75,0.8858137726783752,0.27088685367749327,0.0032594147540038324,8.992805755395683e-07,0.26762743892348945
3.8625,0.132,320,1440,101,0.001,4,0.25,0.4658457040786743,0.3256600677800721,0.02141127119802425,1.9529603914295324e-05,0.30424879658204784
3.8625,0.132,320,1440,101,0.001,4,0.5,0.7231144905090332,0.996115315126844,1.5183379309019132e-05,1.4578779986080095e-05,0.996100131747535
3.8625,0.132,320,1440,101,0.001,4,0.75,0.8858241438865662,0.32593368419884267,0.019363238038121375,1.6763351106059444e-05,0.30657044616072127
3.8625,0.132,320,1440,101,0.001,6,0.25,0.4658457040786743,0.2660160429347866,0.004367554464903628,1.0097062080646211e-06,0.261648488469883
3.8625,0.132,320,1440,101,0.001,6,0.5,0.7231144905090332,0.9945170545099004,0.0,0.0,0.9945170545099004
3.8625,0.132,320,1440,101,0.001,6,0.75,0.8858241438865662,0.26788458931138415,0.0038049791431167177,1.5349162920982348e-06,0.2640796101682674
3.8625,0.132,320,1440,137,0.001,4,0.25,0.4659042954444885,0.3190057586780012,0.021653627912215975,0.0,0.2973521307657852
3.8625,0.132,320,1440,137,0.001,4,0.5,0.7215390205383301,0.9990571867209217,0.0,0.0,0.9990571867209217
3.8625,0.132,320,1440,137,0.001,4,0.75,0.8858289122581482,0.3204639949733904,0.021016630631287385,0.0,0.299447364342103
3.8625,0.132,320,1440,137,0.001,6,0.25,0.4659042954444885,0.25744967696429577,0.004164299518720282,0.0,0.2532853774455755
3.8625,0.132,320,1440,137,0.001,6,0.5,0.7215390205383301,0.9986777578597288,0.0,0.0,0.9986777578597288
3.8625,0.132,320,1440,137,0.001,6,0.75,0.8858289122581482,0.26021257282980204,0.004060437596109509,0.0,0.2561521352336925
3.8625,0.132,320,1440,173,0.001,4,0.25,0.46573230624198914,0.344120372363026,0.014794831517523676,3.974641651550581e-05,0.3293255408455023
3.8625,0.132,320,1440,173,0.001,4,0.5,0.7226555347442627,0.9944987467413983,6.79572273591487e-05,7.739899836004755e-05,0.9944307895140391
3.8625,0.132,320,1440,173,0.001,4,0.75,0.8858052492141724,0.3427943438329325,0.011886862607076148,3.092278910779487e-05,0.33090748122585634
3.8625,0.132,320,1440,173,0.001,6,0.25,0.46573230624198914,0.2947793595359648,0.0026231213700175548,1.050420168067227e-06,0.2921562381659472
3.8625,0.132,320,1440,173,0.001,6,0.5,0.7226555347442627,0.9925592036150039,0.0,0.0,0.9925592036150039
3.8625,0.132,320,1440,173,0.001,6,0.75,0.8858052492141724,0.2956125562222052,0.0019742581046929115,1.050420168067227e-06,0.2936382981175123
3.8625,0.132,320,1440,211,0.001,4,0.25,0.465789258480072,0.3457818626187514,0.013264607718838847,0.0,0.3325172548999125
3.8625,0.132,320,1440,211,0.001,4,0.5,0.7157566547393799,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,211,0.001,4,0.75,0.8858369588851929,0.3455262998086441,0.011676344702470231,0.0,0.3338499551061738
3.8625,0.132,320,1440,211,0.001,6,0.25,0.465789258480072,0.30046051570702936,0.002188564220295487,0.0,0.29827195148673386
3.8625,0.132,320,1440,211,0.001,6,0.5,0.7157566547393799,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,211,0.001,6,0.75,0.8858369588851929,0.301782282048463,0.0018823404835822612,0.0,0.29989994156488076
3.8625,0.132,320,1440,257,0.001,4,0.25,0.4657783806324005,0.3377974999579287,0.015232523221060468,2.6526006910171016e-05,0.32256497673686824
3.8625,0.132,320,1440,257,0.001,4,0.5,0.7300221920013428,0.9931271370393843,1.3795918270073291e-05,1.154398700963018e-05,0.9931133411211142
3.8625,0.132,320,1440,257,0.001,4,0.75,0.885828971862793,0.33809336972649723,0.013458338762414914,1.8803259146097142e-05,0.3246350309640823
3.8625,0.132,320,1440,257,0.001,6,0.25,0.4657783806324005,0.2889366635384235,0.002908159713773012,4.844961240310078e-07,0.2860285038246505
3.8625,0.132,320,1440,257,0.001,6,0.5,0.7300221920013428,0.9905572672305484,0.0,0.0,0.9905572672305484
3.8625,0.132,320,1440,257,0.001,6,0.75,0.885828971862793,0.29082903961384077,0.002421877516974177,0.0,0.28840716209686657
3.8625,0.132,320,1440,307,0.001,4,0.25,0.4658602476119995,0.3194669598557698,0.02585439499756214,0.0,0.29361256485820764
3.8625,0.132,320,1440,307,0.001,4,0.5,0.7184222340583801,0.9994690418561459,0.0,0.0,0.9994690418561459
3.8625,0.132,320,1440,307,0.001,4,0.75,0.8858091831207275,0.3169286972269593,0.022597354516765596,0.0,0.29433134271019373
3.8625,0.132,320,1440,307,0.001,6,0.25,0.4658602476119995,0.24658923330008795,0.005396015090490537,0.0,0.2411932182095974
3.8625,0.132,320,1440,307,0.001,6,0.5,0.7184222340583801,0.9992260621897111,0.0,0.0,0.9992260621897111
3.8625,0.132,320,1440,307,0.001,6,0.75,0.8858091831207275,0.24616409080409282,0.004513835617889579,0.0,0.24165025518620326
3.8625,0.132,320,1440,359,0.001,4,0.25,0.46578437089920044,0.31301891282124833,0.02788612874703093,6.592081928999485e-05,0.2851327840742174
3.8625,0.132,320,1440,359,0.001,4,0.5,0.7222046256065369,0.9892698751651393,0.00015599689308800957,0.00018343588118133,0.9891138782720513
3.8625,0.132,320,1440,359,0.001,4,0.75,0.8858190178871155,0.31023472493747545,0.02402654043367828,3.399710999982765e-05,0.28620818450379715
3.8625,0.132,320,1440,359,0.001,6,0.25,0.46578437089920044,0.23529700269828355,0.005702378298763902,0.0,0.22959462439951964
3.8625,0.132,320,1440,359,0.001,6,0.5,0.7222046256065369,0.9855930457593471,0.0,0.0,0.9855930457593471
3.8625,0.132,320,1440,359,0.001,6,0.75,0.8858190178871155,0.2344276725944275,0.0047141611380506696,0.0,0.22971351145637683
3.8625,0.132,320,1440,401,0.001,4,0.25,0.4657174050807953,0.3360965885395485,0.018231482546932028,0.0,0.31786510599261647
3.8625,0.132,320,1440,401,0.001,4,0.5,0.7296449542045593,0.9980553219153346,0.0,0.0,0.9980553219153346
3.8625,0.132,320,1440,401,0.001,4,0.75,0.8858268857002258,0.3343204926095534,0.01484154307233761,0.0,0.3194789495372158
3.8625,0.132,320,1440,401,0.001,6,0.25,0.4657174050807953,0.27948095321624555,0.003494178786686567,0.0,0.275986774429559
